product Id,Main Category,Category 1,Category 2,Category 3,Category 4,Category 5,Brand,Product Name,Product Information,Car brand,Car model,Car year,Main Price,Discount Price,Product Discription,picture 1,picture 2,picture 3,picture 4,picture 5,picture 6,picture 7,picture 8,picture 9,picture 10,picture 11,picture 12,picture 13,picture 14,picture 15,picture 16,picture 17,source
16129,,,,,,,,FOCAL IS TOY 690,"
    Integration serien Toyota 6x9""",,,,2 790.00,," 
2-veis komponentsystem for bla. følgende Toyota modeller: 
FRONT INSTALLASJON 
Prius 
Camry 
Tacoma 
Tundra 
Alphard 
FJ Cruiser 
Utviklet og produsert i Frankrike 
perfekt størrelse til å passe inn i de orignale plasseringene 
6x9"" (165x230mm) Bass/mellomtone 
Polyglass membran (ren ufarget klang med kraftig bass) 
Invertert aluminium diskant (høy følsomhet og lite retningsbestemt) 
Integrerte delefilter 
30mm Svingspole 
85mm Magnet 
Nominel impedans 4 ohm 
Maks effekt: 150W 
RMS effekt: 75W 
Følsomhet (2.83V/1m): 92,3 dB 
Frekvensrespons: 50Hz-20kHz ",./images_produkt/16129.jpg,,,,,,,,,,,,,,,,,www.iceaudio.no
16268,,,,,,,,"FOCAL Renault, Dacia Y-ISO kabel, IW-REN-YISO","
     ",,,,490.00,,"The Focal Inside Renault Y-ISO HARNESS head unit adaptation cable is designed for the IMPULSE 4.320 compact 4-channel digital amplifier. It allows a quick and simple connection of the Renault/Dacia original head unit and of Focal Inside extension cables. 

Designed specifically for your vehicle 
Quick and easy Plug and Play installation 
Direct link from the amplifier to your original head unit 
Connection to the extension cable via ISO connectors 
No soldering required 
Length: 0.9ft (0.3m) 
Compatibility: for Renault and Dacia vehicles since 2000",./images_produkt/16268.jpg,,,,,,,,,,,,,,,,,www.iceaudio.no
50051,,,,,,,,"GLADEN SoundUP Tesla, GA-SU-TE-3SR-ENTRY","
    Plug & Play oppgradering",,,,12 990.00,,"SOUNDUP GA-SU-TE-3SR-ENTRY 

SoundUp pakke for Tesla Model 3 med SR and SR+ utstyrspakke. 

SoundUp pakken inneholder et par med 20 cm basshøyttalere inkludert adapter for montering i dørene, en 6 kanals DSP forsterker, et kjøretøyspesifikt plug & play kabelsett og dempingsmateriale for å forhindre vibrasjon på høyttalerens monteringsplasser. 

Etter installasjonen kan du bruke vår DSP-programvare til å laste inn en forhåndskonfigurert og kjøretøyspesifikk DSP-innstilling. Dette kan justeres etter din personlige musikksmak. 

Plug & play kabelesettet tillater en ikke-destruktiv installasjon slik at SoundUp pakkene også er egnet for leasede kjøretøy. 

- Kraftig bassgjengivelse fra nye 200 mm basshøyttalere. 
- Perfekt innstilt lydsystem for din Tesla gjennom nyeste DSP teknologi. 
- Dynamisk lyd gjennom svært effektive høyttalere. 
- Optimalisering av de originale høyttalerene via DSP. 

 

 
 ",./images_produkt/50051.jpg,,,,,,,,,,,,,,,,,www.iceaudio.no
50182,,,,,,,,"GLADEN TESLA Model 3, Model Y  10"" basskasse  - NY!","
    Made In Germany",,,,4 990.00,,"Gladen RSX 10 slim Tesla subwoofer er den optimale løsningen for en plassbesparende subwooferintegrasjon. Når den er installert i bagasjerommet på Tesla Model 3 eller Y, gir subwooferen deg en dyp og presis bassrespons uten å ta opp plass i selve bagasjerommet. 

Plassbesparende subwoofer for bagasjeromsbrønn 
For Tesla Model 3 og Y 
24mm frontbaffel og 12mm sidevegger 
2.0mm2 kvalitetskabel mellom terminal og bass 
CNC produksjon 
ATM kompatibel 
Laget i Tyskland 

Bredde: 58 cm 
Høyde: 22 cm 
Dybde: 38 cm 

Impedans: 4 Ohm 

Effekthåndtering: 450 / 250 Watt 

Basskassematerial: Høystyrke MDF 

Farge: sort/grå 

Tilkobling: Trykk terminal, rund 

Kabinettprinsipp: trykkammer 

Nettovolum: 23 liter 

 ",./images_produkt/50182.jpg,,,,,,,,,,,,,,,,,www.iceaudio.no
281190-44,,,,,,,,Smart ForFour radioadapter ny modell,"
     ",,,,119.00,,,./images_produkt/281190-44.jpg,,,,,,,,,,,,,,,,,www.iceaudio.no
16240,,,,,,,,FOCAL IS PSA165,"
    Integration serien PSA 165mm",,,,3 790.00,,"Focal lanserer nå i 2021 nye spesialtilpassede høyttalere for perfekt integrering med enklest mulig installasjon og best mulig lydkvalitet. 

IS PSA 165 2-veis komponentsystem er designet for alle bilister som ønsker å erstatte sitt originale lydsystem med en kvalitetslydløsning. Høyttalerelementene bruker Polyglass-teknologi, som gir veldefinert mellomtone og bass. Aluminium invertert dome diskant, en Focal teknologi, gir perfekt diskantgjengivelse med meget god spredning av lyden. 

2 veis komponentsystem 
Midbass: 165mm 
Diskant: Aluminum invertert dome 
Magnet: Ferrite 
Membranmaterial: Polyglass 
Impedans: 4 ohm 
Power handling: 70W / 140W (RMS / Max) 
Følsomhet (2.83V / 1m): 93,2dB 
Frekvensrespons: 60Hz-20kHz 
delefilter: integrert 

 

 ",./images_produkt/16240.jpg,,,,,,,,,,,,,,,,,www.iceaudio.no
16267,,,,,,,,"FOCAL NISSAN Y-ISO kabel, IW-NIS-YISO","
     ",,,,490.00,,"The Focal Inside NISSAN Y-ISO HARNESS head unit adaptation cable is designed for the IMPULSE 4.320 compact 4-channel digital amplifier. It allows a quick and simple connection of the Nissan original head unit and of Focal Inside extension cables. 

Designed specifically for your vehicle 
Quick and easy Plug and Play installation 
Direct link from the amplifier to your original head unit 
Connection to the extension cable via ISO connectors 
No soldering required 
Length: 0.9ft (0.3m) 
Compatibility: for Nissan vehicles since 2008",./images_produkt/16267.jpg,,,,,,,,,,,,,,,,,www.iceaudio.no
50050,,,,,,,,"GLADEN SoundUP Mercedes, GA-SU-MB-205-BASIC","
    Plug & Play oppgradering",,,,14 990.00,,"SOUNDUP GA-SU-MB-205-BASIC 

SoundUp-pakke for alle Mercedes C, E GLC-modeller eller lignende. 

SoundUp pakken inneholder et 3 veis fronthøyttalersystem, en 6 kanals DSP-forsterker, et kjøretøyspesifikt plug & play kabelesett og dempingsmateriale for å forhindre vibrasjon på høyttalerens monteringsplasser. 

Etter installasjonen kan du bruke vår DSP-programvare til å laste inn en forhåndskonfigurert og kjøretøyspesifikk DSP-innstilling. Dette kan justeres etter din personlige musikksmak. 

Plug & play kabelsettet tillater en ikke-destruktiv installasjon slik at SoundUp pakkene også er egnet for leasede kjøretøy. 

For kjøretøy uten ASD og uten fabrikklydsystem 

- Perfekt innstilt lydsystem for din Mercedes gjennom nyeste DSP teknologi. 
- Dynamisk lyd gjennom svært effektive høyttalere. 
- Optimalisering av den originale bakhøyttaleren via DSP. 

 

 ",./images_produkt/50050.jpg,,,,,,,,,,,,,,,,,www.iceaudio.no
15155,,,,,,,,MATCH PP-AC97 Hyundai/KIA 2011 -->,"
     ",,,,390.00,,,./images_produkt/15155.jpg,,,,,,,,,,,,,,,,,www.iceaudio.no
50188,,,,,,,,GLADEN SU-HQ-EHS9  Hongqi E-HS9 kabelsett Plug & Play,"
    Plug and Play oppgradering",,,,1 490.00,,"Kabelsett av høy kvalitet for installasjon av en PICO 8 | 10 DSP forsterker i en Hongqi E-HS9. 

Mulighet for å velge bort original sub til fordel for den mer potente basskassen GZRB 16SPL som passer under gulvet i bagasjerom. Dette tar lyden til et helt annet nivå enn du oppnår med den originale bassen. 

Produsert i Europa",,,,,,,,,,,,,,,,,,www.iceaudio.no
50190,,,,,,,,"GLADEN SoundUp GA-SU-MB-177-SUB MB GLA, GLB++ - NY!","
    Plug & Play oppgradering A og B klasse",,,,14 990.00,,"Din nye Mercedes lydpakke inkluderer: 

- Premium diskanthøyttalere inkludert delefilter: 
Gladen Audio GA-25 G4 
- Premium subwoofer 
Gladen Audio 200mm subwoofer inkl. kasse til reservehjulsbrønn 
- 6 kanals DSP forsterker: 
Mosconi Pico 6|8 DSP 
- Kjøretøyspesifikt kabelsett: 
Gladen Audio SU-ISOPICO6-3K + SU-MBUX 
- Demping: 
Gladen Audio AERO Wave 

- Høyeffektivt lydsystem som beholder de fleste originale høyttalerne. 
- Detaljert lydbilde på grunn av høyoppløselige diskanthøyttalere. 
- Kraftig subwoofer i bagasjerommet uten tap av plass. 

Etter installasjonen kan du bruke vår DSP-programvare til å laste inn en forhåndskonfigurert og kjøretøyspesifikk DSP-innstilling. Dette kan justeres etter din personlige musikksmak. 

Plug & play kabelsettet tillater en ikke-destruktiv installasjon slik at SoundUp pakkene også er egnet for leasede kjøretøy. 

 

 

Kompabilitet med følgende Mercedes: 

A- Class 
B - Class 
CLA 
GLA 
GLB 
W 177 
W 247 
C 118 / X 118 
H 247 
X 247 ",./images_produkt/50190.jpg,,,,,,,,,,,,,,,,,www.iceaudio.no
